metadata_type,fullName
Layout,Test_Changed_Metadata__c-Test Changed Metadata Layout
Profile,StandardAul
Profile,ContractManager
Profile,Work%2Ecom Only User
Profile,Cross Org Data Proxy User
Profile,Analytics Cloud Security User
Profile,Partner App Subscription User
Profile,Custom%3A Marketing Profile
Profile,Custom%3A Sales Profile
Profile,Analytics Cloud Integration User
Profile,Salesforce API Only System Integrations
Profile,SolutionManager
Profile,Read Only
Profile,Admin
Profile,Custom%3A Support Profile
Profile,Standard
Profile,Force%2Ecom - App Subscription User
Profile,MarketingProfile
Profile,Identity User
Profile,Force%2Ecom - Free User
Profile,Minimum Access - Salesforce
